Datetime,CanopyTemp, 
10/01/2016 9:25,25.75, 
10/01/2016 9:30,26.05, 
10/01/2016 9:35,25.97, 
10/01/2016 9:40,26.53, 
10/01/2016 9:45,26.44, 
10/01/2016 9:50,26.85, 
10/01/2016 9:55,26.37, 
10/01/2016 10:00,26.89, 
10/01/2016 10:05,27.55, 
10/01/2016 10:10,27.26, 
10/01/2016 10:15,27.2, 
10/01/2016 10:20,26.81, 
10/01/2016 10:25,27.59, 
10/01/2016 10:30,27.31, 
10/01/2016 10:35,28.23, 
10/01/2016 10:40,27.98, 
10/01/2016 10:45,28.53, 
10/01/2016 10:50,28.16, 
10/01/2016 10:55,27.76, 
10/01/2016 11:05,28.37, 
10/01/2016 11:10,28.07, 
10/01/2016 11:20,28.01, 
10/01/2016 11:25,28.74, 
10/01/2016 11:35,27.85, 
10/01/2016 11:40,28.22, 
10/01/2016 11:45,28.26, 
10/01/2016 11:50,29.07, 
10/01/2016 11:55,29.06, 
10/01/2016 12:05,29.06, 
10/01/2016 12:10,28.14, 
10/01/2016 12:15,28.49, 
10/01/2016 12:20,28.67, 
10/01/2016 12:25,29.29, 
10/01/2016 12:30,30.13, 
10/01/2016 12:35,28.58, 
10/01/2016 12:40,29.61, 
10/01/2016 12:45,29.4, 
10/01/2016 12:50,30.52, 
10/01/2016 12:55,29.96, 
10/01/2016 13:05,29.5, 
10/01/2016 13:10,29.32, 
10/01/2016 13:15,29.52, 
10/01/2016 13:20,30.21, 
10/01/2016 13:25,31.21, 
10/01/2016 13:30,29.84, 
10/01/2016 13:35,29.89, 
10/01/2016 13:40,30.26, 
10/01/2016 13:50,29.31, 
10/01/2016 13:55,30.47, 
10/01/2016 14:00,30.67, 
10/01/2016 14:05,30.8, 
10/01/2016 14:10,30.59, 
10/01/2016 14:15,28.6, 
10/01/2016 14:20,30.23, 
10/01/2016 14:25,30.33, 
10/01/2016 14:30,30.34, 
10/01/2016 14:35,30.34, 
10/01/2016 14:40,30.14, 
10/01/2016 14:45,30.55, 
10/01/2016 14:50,31.01, 
10/01/2016 14:55,30.9, 
10/01/2016 15:00,31.17, 
10/01/2016 15:05,30.79, 
10/01/2016 15:10,30.33, 
10/01/2016 15:15,30.76, 
10/01/2016 15:20,27.3, 
10/01/2016 15:25,30.74, 
10/01/2016 15:30,29.92, 
10/01/2016 15:35,30.21, 
10/01/2016 15:40,30.18, 
10/01/2016 15:45,30.05, 
10/01/2016 15:50,30.38, 
10/01/2016 15:55,30.4, 
10/01/2016 16:00,30.69, 
10/01/2016 16:05,30.26, 
10/01/2016 16:10,30.42, 
10/01/2016 16:15,31.34, 
10/01/2016 16:20,31.73, 
10/01/2016 16:25,31.51, 
10/01/2016 16:30,31.54, 
10/01/2016 16:35,31.04, 
10/01/2016 16:40,30.79, 
10/01/2016 16:45,28.57, 
10/01/2016 16:50,31.23, 
10/01/2016 16:55,29.87, 
